group,y_true_log,y_pred_log,y_true_sec,y_pred_sec,model_name,used_gpu,img_size,batch
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.544671403492107,-1.6402853764450787,0.5800323486328125,0.1939246928540951,yolov5mu.pt,0,160,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.44822157067004803,-0.7359923414399321,1.5655255317687988,0.4790298618536741,yolov5mu.pt,0,320,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.2055303951632972,0.8918428859927918,3.338529348373413,2.439621455284935,yolov5mu.pt,0,640,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.4464437158112682,1.463835551326884,4.24798059463501,4.322506971124306,yolov5mu.pt,0,800,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.8510984974233575,1.8013980665073952,6.366809606552124,6.058111188960806,yolov5mu.pt,0,960,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.2120179473162334,2.1980443187676544,9.134130001068115,9.00738069760142,yolov5mu.pt,0,1120,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.7992708208126028,-1.4752187917320954,0.4496567249298095,0.2287286776266648,yolov5mu.pt,0,160,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.066321434262893,-0.5125646049876589,1.0685701370239258,0.5989575179580569,yolov5mu.pt,0,320,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.252223452037012,1.1810494013257322,3.498112201690674,3.257791140048231,yolov5mu.pt,0,640,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.7759176579019773,1.6382032528597807,5.90569806098938,5.145915292392363,yolov5mu.pt,0,800,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.113829719377442,2.0673699388549585,8.279890298843384,7.904007733351616,yolov5mu.pt,0,960,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,2.4511388625416606,2.4208187489970507,11.60155177116394,11.255070621276248,yolov5mu.pt,0,1120,10
